RUA HOLANDA, 202 CURITIBA PR
RUA MATEUS LEME, 1310 CURITIBA PR
RUA JOAO NEGRAO, 1251 CURITIBA PR
RUA MARECHAL DEODORO, 298 CURITIBA PR
AVENIDA WINSTON CHURCHILL, 2630 CURITIBA PR
AVENIDA MANOEL RIBAS, 5631 CURITIBA PR
AVENIDA REPUBLICA ARGENTINA, 1902 CURITIBA PR
RUA PROFESSOR JOAO DOETZER, 531 CURITIBA PR
AVENIDA GETULIO VARGAS, 3309 CURITIBA PR
RUA AGUDOS DO SUL, 41 CURITIBA PR
RUA AMINTAS DE BARROS, 627 CURITIBA PR
RUA ALFERES ANGELO SAMPAIO, 1090 CURITIBA PR
AVENIDA ANITA GARIBALDI 2480, 2480 CURITIBA PR
AVENIDA ANITA GARIBALDI, 3482 CURITIBA PR
RUA AUGUSTO STRESSER, 1184 CURITIBA PR
R DEP HEITOR ALENCAR FURTADO 1210 LJ 17, 1210 CURITIBA PR
AVENIDA BRASILIA, 6759 CURITIBA PR
ALAMEDA DOUTOR CARLOS DE CARVALHO, 55 CURITIBA PR
RUA LOURIVAL WENDLER, 509 CURITIBA PR
AVENIDA CORONEL FRANCISCO HERACLITO DOS, 100 CURITIBA PR
AVENIDA JOAO GUALBERTO, 1664 CURITIBA PR
AVENIDA PRESIDENTE KENNEDY, 2831 CURITIBA PR
RUA LAMENHA LINS, 1496 CURITIBA PR
RUA DELEGADO LEOPOLDO BELCZAK, 886 CURITIBA PR
R SENADOR XAVIER DA SILVA, 484 CURITIBA PR
RUA GILBERTO MEZZOMO, 52 CURITIBA PR
RUA CATTARINA SCOTTI, 163 CURITIBA PR
AVENIDA VICENTE MACHADO, 205 CURITIBA PR
RUA PREFEITO JOAO MOREIRA GARCEZ, 92 CURITIBA PR
RUA PADRE ANCHIETA, 618 CURITIBA PR
AV PRESIDENTE ARTHUR DA SILVA BERNARDES, 260 CURITIBA PR
ALAMEDA PRESIDENTE TAUNAY, 600 CURITIBA PR
RUA ANDRE DE BARROS, 90/100 CURITIBA PR
RUA MATEUS LEME, 2830 CURITIBA PR
AVENIDA PARANA, 4540 CURITIBA PR
AVENIDA VEREADOR TOALDO TULIO, 3066 CURITIBA PR
AVENIDA VISCONDE DE GUARAPUAVA, 1895 CURITIBA PR
RUA OMAR RAYMUNDO PICHETH, 494 CURITIBA PR
RUA XV DE NOVEMBRO, 2765 CURITIBA PR
RUA LEA MOREIRA DE SOUZA MOURA, 271 CURITIBA PR
