Mateus Leme, 336 Curitiba-PR
Desembargador Motta, 2347 Curitiba-PR
Desembargador Westphalen, 16 Curitiba-PR
Av. Presidente Getúlio Vargas, 1193 Curitiba-PR
Presidente Carlos Cavalcanti, 533 Curitiba-PR
Barão do Rio Branco, 395 Curitiba-PR
Praça Nossa Senhora da Salete, s/n Curitiba-PR
Praça Rui Barbosa, 694 Curitiba-PR
Rua Jacarezinho, 1691 Curitiba-PR
Rua XV de Novembro, 695 Curitiba-PR
Av. Água Verde, 1413 Curitiba-PR
Largo da Ordem Curitiba-PR
R. Benedito Conceição, 407 Curitiba-PR
Av. Cândido Hartmann, 2300 Curitiba-PR
R. Ubaldino do Amaral Curitiba-PR
R. Agostinho Macedo, 248 Curitiba-PR
Engenheiro Antônio Batista Ribas, 151 Curitiba-PR
Nicarágua, 2620 Curitiba-PR
Sete de Setembro, 2775 Curitiba-PR
XV de Novembro, 1348 Curitiba-PR
Av. República Argentina, 3430 Curitiba-PR
Marechal Hermes, 999 Curitiba-PR
Kellers, 289 Curitiba-PR
Rua Nicarágua, 2620 Curitiba-PR
Al. Augusto Stellfeld, 795 Curitiba-PR
